Day;Value.BMW.
01/03/2000;29.1
01/04/2000;28.2
01/05/2000;27.7
01/06/2000;28.2
01/07/2000;27.7
01/10/2000;28.7
01/11/2000;28.58
01/12/2000;28.33
01/13/2000;27.25
01/14/2000;26.75
01/17/2000;27.15
01/18/2000;26.9
01/19/2000;27.3
01/20/2000;26.4
01/21/2000;25.65
01/24/2000;25
01/25/2000;23.3
01/26/2000;24.4
01/27/2000;24.6
01/28/2000;24.8
01/31/2000;23.7
02/01/2000;24.35
02/02/2000;24.25
02/03/2000;25.7
02/04/2000;25.65
02/07/2000;25.3
02/08/2000;24.9
02/09/2000;24.9
02/10/2000;25.95
02/11/2000;25.25
02/14/2000;25.15
02/15/2000;24.75
02/16/2000;25.3
02/17/2000;24.95
02/18/2000;26.4
02/21/2000;27.7
02/22/2000;27.9
02/23/2000;26.95
02/24/2000;26.95
02/25/2000;27.25
02/28/2000;26.15
02/29/2000;26.6
03/01/2000;26.8
03/02/2000;27
03/03/2000;25.85
03/06/2000;25.7
03/07/2000;25.2
03/08/2000;25.8
03/09/2000;25.5
03/10/2000;26.5
03/13/2000;26.8
03/14/2000;27.5
03/15/2000;30.31
03/16/2000;31.7
03/17/2000;30.4
03/20/2000;30.4
03/21/2000;32.95
03/22/2000;34.1
03/23/2000;33.25
03/24/2000;33.2
03/27/2000;32.7
03/28/2000;32.6
03/29/2000;34.7
03/30/2000;34.55
03/31/2000;32.95
04/03/2000;32.3
04/04/2000;33.2
04/05/2000;32.9
04/06/2000;32.4
04/07/2000;31.05
04/10/2000;32.8
04/11/2000;32.4
04/12/2000;32.7
04/13/2000;31.78
04/14/2000;31.2
04/17/2000;30.3
04/18/2000;30.1
04/19/2000;29.95
04/20/2000;29.8
04/21/2000;29.8
04/24/2000;29.8
04/25/2000;30.9
04/26/2000;30.1
04/27/2000;30.25
04/28/2000;29.25
05/01/2000;29.25
05/02/2000;30.25
05/03/2000;30.7
05/04/2000;31.75
05/05/2000;32.1
05/08/2000;32.8
05/09/2000;33.8
05/10/2000;33.4
05/11/2000;33.8
05/12/2000;32.6
05/15/2000;32.8
05/16/2000;33.4
05/17/2000;31.8
05/18/2000;30.6
05/19/2000;30.55
05/22/2000;30.15
05/23/2000;30.7
05/24/2000;32.05
05/25/2000;32.55
05/26/2000;31.8
05/29/2000;32.6
05/30/2000;32.4
05/31/2000;32.3
06/01/2000;33
06/02/2000;33.8
06/05/2000;33.35
06/06/2000;33
06/07/2000;31.95
06/08/2000;32
06/09/2000;32.6
06/12/2000;33.2
06/13/2000;33.9
06/14/2000;34.2
06/15/2000;34.5
06/16/2000;33.65
06/19/2000;33.1
06/20/2000;33
06/21/2000;32.9
06/22/2000;32.5
06/23/2000;31.7
06/26/2000;31.7
06/27/2000;31
06/28/2000;31.25
06/29/2000;32.75
06/30/2000;31.6
07/03/2000;32
07/04/2000;33.25
07/05/2000;33.75
07/06/2000;36.3
07/07/2000;35.6
07/10/2000;35.2
07/11/2000;36
07/12/2000;37.6
07/13/2000;37.55
07/14/2000;36.3
07/17/2000;35.45
07/18/2000;36.5
07/19/2000;36
07/20/2000;37.4
07/21/2000;37.15
07/24/2000;37.2
07/25/2000;36.63
07/26/2000;36.9
07/27/2000;36.65
07/28/2000;36.3
07/31/2000;37
