Day;Value.Daimler.
01/03/2000;75.2
01/04/2000;73.2
01/05/2000;72
01/06/2000;71.6
01/07/2000;73
01/10/2000;75.6
01/11/2000;74.3
01/12/2000;74.2
01/13/2000;75.9
01/14/2000;75.8
01/17/2000;72.95
01/18/2000;73.1
01/19/2000;72.3
01/20/2000;71.4
01/21/2000;71
01/24/2000;70.4
01/25/2000;68
01/26/2000;67
01/27/2000;69.4
01/28/2000;68
01/31/2000;66.7
02/01/2000;67
02/02/2000;66.85
02/03/2000;67.8
02/04/2000;67.3
02/07/2000;66.9
02/08/2000;66.15
02/09/2000;65.4
02/10/2000;65.7
02/11/2000;66.4
02/14/2000;66.1
02/15/2000;66.9
02/16/2000;65.7
02/17/2000;65.05
02/18/2000;65.15
02/21/2000;64.2
02/22/2000;64
02/23/2000;63.1
02/24/2000;61.9
02/25/2000;65.8
02/28/2000;67.5
02/29/2000;70.4
03/01/2000;67.7
03/02/2000;67.2
03/03/2000;65.1
03/06/2000;65.55
03/07/2000;63.55
03/08/2000;64.1
03/09/2000;64.1
03/10/2000;62.8
03/13/2000;63.75
03/14/2000;65.4
03/15/2000;65.2
03/16/2000;68.4
03/17/2000;67.85
03/20/2000;67.1
03/21/2000;68.1
03/22/2000;68.9
03/23/2000;68.9
03/24/2000;70.2
03/27/2000;70
03/28/2000;68.2
03/29/2000;67.7
03/30/2000;68.7
03/31/2000;68.4
04/03/2000;69.9
04/04/2000;70.6
04/05/2000;70.3
04/06/2000;70.7
04/07/2000;69.6
04/10/2000;69.2
04/11/2000;69.7
04/12/2000;69.75
04/13/2000;69.8
04/14/2000;69.1
04/17/2000;68.25
04/18/2000;68.35
04/19/2000;66.7
04/20/2000;64.15
04/21/2000;64.15
04/24/2000;64.15
04/25/2000;65.2
04/26/2000;65.7
04/27/2000;63.7
04/28/2000;64
05/01/2000;64
05/02/2000;64.4
05/03/2000;64.4
05/04/2000;64.8
05/05/2000;64.3
05/08/2000;64.1
05/09/2000;62.7
05/10/2000;61.1
05/11/2000;60.75
05/12/2000;61.35
05/15/2000;61.7
05/16/2000;62.5
05/17/2000;61.25
05/18/2000;61.3
05/19/2000;60.2
05/22/2000;60.5
05/23/2000;61.05
05/24/2000;61.1
05/25/2000;60.6
05/26/2000;59.7
05/29/2000;59.95
05/30/2000;59.7
05/31/2000;58.1
06/01/2000;58.2
06/02/2000;57.9
06/05/2000;59.2
06/06/2000;60.2
06/07/2000;60.6
06/08/2000;60.4
06/09/2000;59.92
06/12/2000;60.1
06/13/2000;59.8
06/14/2000;58.8
06/15/2000;57.6
06/16/2000;57.2
06/19/2000;57.45
06/20/2000;56.95
06/21/2000;55.95
06/22/2000;55.5
06/23/2000;56.2
06/26/2000;56.1
06/27/2000;56.7
06/28/2000;56.4
06/29/2000;55.25
06/30/2000;54.95
07/03/2000;55.9
07/04/2000;56.95
07/05/2000;56.3
07/06/2000;55.8
07/07/2000;56.9
07/10/2000;58.2
07/11/2000;57.7
07/12/2000;57.3
07/13/2000;56.8
07/14/2000;56.9
07/17/2000;56.45
07/18/2000;57.45
07/19/2000;59.95
07/20/2000;60.5
07/21/2000;59.25
07/24/2000;57.5
07/25/2000;56.25
07/26/2000;56.6
07/27/2000;56.2
07/28/2000;57.2
07/31/2000;57.25
08/01/2000;56.9
08/02/2000;57.8
08/03/2000;57
08/04/2000;57.1
08/07/2000;58.6
08/08/2000;59
08/09/2000;61
08/10/2000;62.4
08/11/2000;62.2
08/14/2000;62
08/15/2000;61.5
08/16/2000;61.5
08/17/2000;61
08/18/2000;60
08/21/2000;60
08/22/2000;60.7
08/23/2000;60.9
08/24/2000;60.25
08/25/2000;60.65
08/28/2000;61.15
08/29/2000;59.7
08/30/2000;58.8
08/31/2000;58.1
09/01/2000;58.2
09/04/2000;58.5
09/05/2000;58.5
09/06/2000;58.7
09/07/2000;57.8
09/08/2000;57.6
09/11/2000;58.2
09/12/2000;56.95
09/13/2000;55.8
09/14/2000;56.05
09/15/2000;55.5
09/18/2000;54.35
09/19/2000;53.8
09/20/2000;52.6
09/21/2000;51.7
09/22/2000;52.85
09/25/2000;51.3
09/26/2000;51.5
09/27/2000;52.6
09/28/2000;50.3
09/29/2000;50.6
10/02/2000;51.2
10/03/2000;51.2
10/04/2000;50.4
10/05/2000;50.3
10/06/2000;51
10/09/2000;51.8
10/10/2000;53.4
10/11/2000;52.7
10/12/2000;51.5
10/13/2000;53.3
10/16/2000;53.6
10/17/2000;54.15
10/18/2000;53.3
10/19/2000;54.3
10/20/2000;55
10/23/2000;53.6
10/24/2000;53.4
10/25/2000;52.5
10/26/2000;52
10/27/2000;51.1
10/30/2000;52.1
10/31/2000;54.35
11/01/2000;56
11/02/2000;55.7
11/03/2000;55.5
11/06/2000;54.6
11/07/2000;54.3
11/08/2000;54.15
11/09/2000;55
11/10/2000;53.8
11/13/2000;53.7
11/14/2000;54.4
11/15/2000;52.2
11/16/2000;51.5
11/17/2000;50
11/20/2000;47.4
11/21/2000;46.55
11/22/2000;46.8
11/23/2000;48.8
11/24/2000;48.05
11/27/2000;47.2
11/28/2000;46.5
11/29/2000;45.85
11/30/2000;44.6
12/01/2000;45.8
12/04/2000;46.6
12/05/2000;48.35
12/06/2000;48.1
12/07/2000;47.85
12/08/2000;48.35
12/11/2000;49.6
12/12/2000;51
12/13/2000;49.7
12/14/2000;49
12/15/2000;48.15
12/18/2000;47.3
12/19/2000;46.01
12/20/2000;45.2
12/21/2000;44.5
12/22/2000;44
12/25/2000;44
12/26/2000;44
12/27/2000;43.15
12/28/2000;43.05
12/29/2000;45.2
01/01/2001;45.2
01/02/2001;45.1
01/03/2001;45
01/04/2001;47.1
01/05/2001;46.6
01/08/2001;47
01/09/2001;46
01/10/2001;44
01/11/2001;45.2
01/12/2001;44.1
01/15/2001;44.5
01/16/2001;44.6
01/17/2001;47
01/18/2001;48
01/19/2001;48.8
01/22/2001;50
01/23/2001;50.25
01/24/2001;50.3
01/25/2001;51.5
01/26/2001;52.9
01/29/2001;51.35
01/30/2001;49.8
01/31/2001;50.9
02/01/2001;50.4
02/02/2001;49.3
02/05/2001;50.15
02/06/2001;52.1
02/07/2001;52
02/08/2001;53.45
02/09/2001;52.35
02/12/2001;53.4
02/13/2001;55.1
02/14/2001;55.2
02/15/2001;55.1
02/16/2001;54.9
02/19/2001;55.15
02/20/2001;56.2
02/21/2001;57.2
02/22/2001;54.65
02/23/2001;52.6
02/26/2001;52.3
02/27/2001;52.8
02/28/2001;53.35
03/01/2001;52.7
03/02/2001;52.6
03/05/2001;54
03/06/2001;56.2
03/07/2001;55.65
03/08/2001;55.3
03/09/2001;55.85
03/12/2001;55
03/13/2001;53.1
03/14/2001;50.3
03/15/2001;51.1
03/16/2001;51
03/19/2001;50.5
03/20/2001;51.6
03/21/2001;50.5
03/22/2001;47.8
03/23/2001;49.3
03/26/2001;50.95
03/27/2001;50.9
03/28/2001;49.9
03/29/2001;51
03/30/2001;50.1
04/02/2001;51
04/03/2001;49.95
04/04/2001;49.7
04/05/2001;50.7
04/06/2001;51.4
04/09/2001;53
04/10/2001;54.7
04/11/2001;54.1
04/12/2001;52.4
04/13/2001;52.4
04/16/2001;52.4
04/17/2001;51.9
04/18/2001;54.3
04/19/2001;54.65
04/20/2001;54.9
04/23/2001;54.9
04/24/2001;56
04/25/2001;54.95
04/26/2001;55.4
04/27/2001;54.4
04/30/2001;56.45
05/01/2001;56.45
05/02/2001;57.2
05/03/2001;56.5
05/04/2001;57
05/07/2001;56.5
05/08/2001;56.1
05/09/2001;56.4
05/10/2001;56.6
05/11/2001;57
05/14/2001;56.5
05/15/2001;56.3
05/16/2001;56.35
05/17/2001;56.8
05/18/2001;56.9
05/21/2001;56.9
05/22/2001;56.8
05/23/2001;56.3
05/24/2001;56.5
05/25/2001;56.25
05/28/2001;55.7
05/29/2001;54.2
05/30/2001;53.6
05/31/2001;54.1
06/01/2001;53.45
06/04/2001;54.1
06/05/2001;54.5
06/06/2001;54.4
06/07/2001;54.1
06/08/2001;53.5
06/11/2001;53.6
06/12/2001;52.7
06/13/2001;52.65
06/14/2001;51.8
06/15/2001;50.8
06/18/2001;50.2
06/19/2001;50.9
06/20/2001;50.45
06/21/2001;50.2
06/22/2001;51.5
06/25/2001;52.3
06/26/2001;51
06/27/2001;52.05
06/28/2001;52.6
06/29/2001;54.2
07/02/2001;55.75
07/03/2001;55.4
07/04/2001;54.9
07/05/2001;54.55
07/06/2001;53.6
07/09/2001;53.9
07/10/2001;54.8
07/11/2001;56.1
07/12/2001;56.9
07/13/2001;57
07/16/2001;57.15
07/17/2001;57.1
07/18/2001;55.6
07/19/2001;55.95
07/20/2001;57.55
07/23/2001;56.9
07/24/2001;56.5
07/25/2001;55.3
07/26/2001;55.35
07/27/2001;56.4
07/30/2001;56.05
07/31/2001;56.35
08/01/2001;56.35
08/02/2001;54.75
08/03/2001;54.2
08/06/2001;54
08/07/2001;54.4
08/08/2001;53.7
08/09/2001;52.9
08/10/2001;52.5
08/13/2001;52.7
08/14/2001;53.4
08/15/2001;52.15
08/16/2001;50.8
08/17/2001;47.7
08/20/2001;48.2
08/21/2001;48.78
08/22/2001;49.6
08/23/2001;50.7
08/24/2001;51.65
08/27/2001;50.9
08/28/2001;50.15
08/29/2001;49.45
08/30/2001;47.9
08/31/2001;48.1
09/03/2001;46.5
09/04/2001;49.05
09/05/2001;48
09/06/2001;47.95
09/07/2001;45.1
09/10/2001;43.9
09/11/2001;40.2
09/12/2001;39.1
09/13/2001;37.8
09/14/2001;34.9
09/17/2001;36.8
09/18/2001;35.7
09/19/2001;33
09/20/2001;30.4
09/21/2001;30.8
09/24/2001;32.1
09/25/2001;30.85
09/26/2001;31.5
09/27/2001;31
09/28/2001;32.6
10/01/2001;33.9
10/02/2001;34.8
10/03/2001;35.9
10/04/2001;37.75
10/05/2001;36.95
10/08/2001;37
10/09/2001;36.6
10/10/2001;38.2
10/11/2001;39.3
10/12/2001;38.1
10/15/2001;37.4
10/16/2001;38.35
10/17/2001;38.85
10/18/2001;38.6
10/19/2001;37.45
10/22/2001;39
10/23/2001;40.5
10/24/2001;41.55
10/25/2001;40.35
10/26/2001;42.5
10/29/2001;41.05
10/30/2001;39
10/31/2001;38.75
11/01/2001;39.65
11/02/2001;39.25
11/05/2001;40.2
11/06/2001;39.95
11/07/2001;40.5
11/08/2001;41.25
11/09/2001;41.4
11/12/2001;40.7
11/13/2001;42.8
11/14/2001;43.95
11/15/2001;44.75
11/16/2001;44.7
11/19/2001;47.5
11/20/2001;47
11/21/2001;46.45
11/22/2001;47
11/23/2001;49.2
11/26/2001;50.2
11/27/2001;48.35
11/28/2001;47.31
11/29/2001;46.1
11/30/2001;46.9
12/03/2001;46.8
12/04/2001;46.4
12/05/2001;47.85
12/06/2001;48.9
12/07/2001;48.85
12/10/2001;47.15
12/11/2001;46.15
12/12/2001;44.8
12/13/2001;44.4
12/14/2001;44.1
12/17/2001;45.8
12/18/2001;45.4
12/19/2001;44.7
12/20/2001;44.65
12/21/2001;45.4
12/24/2001;45.4
12/25/2001;45.4
12/26/2001;45.4
12/27/2001;47.2
12/28/2001;48.1
12/31/2001;48.1
01/01/2002;48.1
01/02/2002;47.9
01/03/2002;49.3
01/04/2002;50.7
01/07/2002;49.35
01/08/2002;49.1
01/09/2002;49
01/10/2002;47.1
01/11/2002;47.7
01/14/2002;46.6
01/15/2002;46.05
01/16/2002;45.7
01/17/2002;46.8
01/18/2002;46.9
01/21/2002;46.25
01/22/2002;46.2
01/23/2002;46.7
01/24/2002;47.1
01/25/2002;47.1
01/28/2002;48.3
01/29/2002;47.24
01/30/2002;47.4
01/31/2002;47
02/01/2002;46.8
02/04/2002;45
02/05/2002;44.4
02/06/2002;43
02/07/2002;42.4
02/08/2002;42.95
02/11/2002;43.15
02/12/2002;42.9
02/13/2002;43.9
02/14/2002;43.2
02/15/2002;42.5
02/18/2002;42.4
02/19/2002;40.8
02/20/2002;41.6
02/21/2002;43.8
02/22/2002;43.3
02/25/2002;45.3
02/26/2002;45.6
02/27/2002;46.2
02/28/2002;46.3
03/01/2002;47.7
03/04/2002;49.7
03/05/2002;49.5
03/06/2002;48.85
03/07/2002;49.1
03/08/2002;49.75
03/11/2002;50
03/12/2002;50.12
03/13/2002;50.1
03/14/2002;50.9
03/15/2002;52.6
03/18/2002;53.4
03/19/2002;54.15
03/20/2002;53.05
03/21/2002;52.3
03/22/2002;53.6
03/25/2002;52.2
03/26/2002;53.5
03/27/2002;52
03/28/2002;52.05
03/29/2002;52.05
04/01/2002;52.05
04/02/2002;51.15
04/03/2002;50.25
04/04/2002;50
04/05/2002;50.5
04/08/2002;49.8
04/09/2002;50
04/10/2002;51.65
04/11/2002;50.25
04/12/2002;50
04/15/2002;51
04/16/2002;53.45
04/17/2002;53.22
04/18/2002;51.9
04/19/2002;51.9
04/22/2002;51.35
04/23/2002;52.1
04/24/2002;52.7
04/25/2002;51.05
04/26/2002;50.8
04/29/2002;50.5
04/30/2002;51.3
05/01/2002;51.3
05/02/2002;51.8
05/03/2002;51.85
05/06/2002;51.4
05/07/2002;51.4
05/08/2002;52.8
05/09/2002;52.8
05/10/2002;52
05/13/2002;52.65
05/14/2002;53
05/15/2002;52.3
05/16/2002;52.7
05/17/2002;53.75
05/20/2002;53.1
05/21/2002;53.6
05/22/2002;54.5
05/23/2002;53.7
05/24/2002;53.8
05/27/2002;54.7
05/28/2002;53.95
05/29/2002;53.83
05/30/2002;51.85
05/31/2002;52.8
06/03/2002;52.05
06/04/2002;50
06/05/2002;50.15
06/06/2002;51
06/07/2002;50
06/10/2002;49.4
06/11/2002;50.1
06/12/2002;50
06/13/2002;49
06/14/2002;46.6
06/17/2002;48.6
06/18/2002;48.4
06/19/2002;47.5
06/20/2002;46.1
06/21/2002;45.3
06/24/2002;44.3
06/25/2002;46
06/26/2002;46.45
06/27/2002;46.75
06/28/2002;49
07/01/2002;48.2
07/02/2002;46
07/03/2002;45.6
07/04/2002;46.15
07/05/2002;47.85
07/08/2002;47.9
07/09/2002;47.5
07/10/2002;46.5
07/11/2002;44.1
07/12/2002;45.7
07/15/2002;44.15
07/16/2002;45.4
07/17/2002;45
07/18/2002;47.1
07/19/2002;44.45
07/22/2002;41.9
07/23/2002;40.55
07/24/2002;42
07/25/2002;41.4
07/26/2002;41
07/29/2002;44.7
07/30/2002;45.6
07/31/2002;44.1
08/01/2002;42.5
08/02/2002;42.1
08/05/2002;39.6
08/06/2002;42
08/07/2002;42.8
08/08/2002;44
08/09/2002;44.85
08/12/2002;43.9
08/13/2002;44
08/14/2002;42.95
08/15/2002;44.9
08/16/2002;45
08/19/2002;47.5
08/20/2002;46.5
08/21/2002;47
08/22/2002;46.7
08/23/2002;46
08/26/2002;44.9
08/27/2002;46
08/28/2002;43.95
08/29/2002;43.7
08/30/2002;43.9
09/02/2002;43
09/03/2002;40.4
09/04/2002;41.2
09/05/2002;41.2
09/06/2002;41.75
09/09/2002;41.8
09/10/2002;43.9
09/11/2002;44.55
09/12/2002;42.5
09/13/2002;41.45
09/16/2002;40.98
09/17/2002;40.75
09/18/2002;38.65
09/19/2002;38.2
09/20/2002;38.19
09/23/2002;36.6
09/24/2002;34.95
09/25/2002;36
09/26/2002;37.1
09/27/2002;36.65
09/30/2002;33.9
10/01/2002;35.7
10/02/2002;37.15
10/03/2002;34.7
10/04/2002;34
10/07/2002;34.1
