Day;Value.Honda.Motor.
01/03/2000;1900
01/04/2000;1915
01/05/2000;1885
01/06/2000;1810
01/07/2000;1845
01/10/2000;1845
01/11/2000;1920
01/12/2000;2015
01/13/2000;2015
01/14/2000;1975
01/17/2000;1950
01/18/2000;1925
01/19/2000;1865
01/20/2000;1840
01/21/2000;1885
01/24/2000;1880
01/25/2000;1840
01/26/2000;1830
01/27/2000;1815
01/28/2000;1790
01/31/2000;1715
02/01/2000;1800
02/02/2000;1875
02/03/2000;2025
02/04/2000;2040
02/07/2000;1980
02/08/2000;2005
02/09/2000;2040
02/10/2000;2020
02/11/2000;2020
02/14/2000;1860
02/15/2000;1850
02/16/2000;1905
02/17/2000;1930
02/18/2000;1975
02/21/2000;2000
02/22/2000;1975
02/23/2000;2000
02/24/2000;1950
02/25/2000;1925
02/28/2000;1825
02/29/2000;1800
03/01/2000;1790
03/02/2000;1795
03/03/2000;1810
03/06/2000;1820
03/07/2000;1885
03/08/2000;1850
03/09/2000;1890
03/10/2000;1925
03/13/2000;1940
03/14/2000;1900
03/15/2000;1805
03/16/2000;1820
03/17/2000;1850
03/20/2000;1850
03/21/2000;1850
03/22/2000;1945
03/23/2000;1920
03/24/2000;1985
03/27/2000;2070
03/28/2000;2115
03/29/2000;2135
03/30/2000;2035
03/31/2000;2120
04/03/2000;2120
04/04/2000;2170
04/05/2000;2170
04/06/2000;2110
04/07/2000;2110
04/10/2000;2165
04/11/2000;2115
04/12/2000;2250
04/13/2000;2250
04/14/2000;2300
04/17/2000;2175
04/18/2000;2230
04/19/2000;2150
04/20/2000;2195
04/21/2000;2075
04/24/2000;2240
04/25/2000;2295
04/26/2000;2280
04/27/2000;2410
04/28/2000;2415
05/01/2000;2470
05/02/2000;2410
05/03/2000;2410
05/04/2000;2410
05/05/2000;2410
05/08/2000;2350
05/09/2000;2300
05/10/2000;2325
05/11/2000;2320
05/12/2000;2300
05/15/2000;2050
05/16/2000;1875
05/17/2000;1995
05/18/2000;1985
05/19/2000;1945
05/22/2000;1880
05/23/2000;1920
05/24/2000;1945
05/25/2000;1955
05/26/2000;1850
05/29/2000;1845
05/30/2000;1815
05/31/2000;1775
06/01/2000;1920
06/02/2000;1875
06/05/2000;1925
06/06/2000;1880
06/07/2000;1820
06/08/2000;1865
06/09/2000;1910
06/12/2000;1880
06/13/2000;1825
06/14/2000;1725
06/15/2000;1690
06/16/2000;1740
06/19/2000;1770
06/20/2000;1750
06/21/2000;1800
06/22/2000;1800
06/23/2000;1720
06/26/2000;1740
06/27/2000;1805
06/28/2000;1825
06/29/2000;1775
06/30/2000;1805
07/03/2000;1745
07/04/2000;1880
07/05/2000;1990
07/06/2000;1950
07/07/2000;1895
07/10/2000;1950
07/11/2000;1975
07/12/2000;1970
07/13/2000;1960
07/14/2000;2000
07/17/2000;2040
07/18/2000;2010
07/19/2000;2000
07/20/2000;2000
07/21/2000;1905
07/24/2000;1960
07/25/2000;2015
07/26/2000;1960
07/27/2000;1975
07/28/2000;1980
07/31/2000;2000
08/01/2000;1970
08/02/2000;2065
08/03/2000;2090
08/04/2000;2170
08/07/2000;2190
08/08/2000;2145
08/09/2000;2070
08/10/2000;2010
08/11/2000;2045
08/14/2000;2100
08/15/2000;1995
08/16/2000;1955
08/17/2000;1900
08/18/2000;1895
08/21/2000;1825
08/22/2000;1850
08/23/2000;1885
08/24/2000;1870
08/25/2000;1855
08/28/2000;1830
08/29/2000;1860
08/30/2000;1895
08/31/2000;1950
09/01/2000;1995
09/04/2000;2055
09/05/2000;2040
09/06/2000;2020
09/07/2000;1970
09/08/2000;2020
09/11/2000;2035
09/12/2000;2050
09/13/2000;2080
09/14/2000;2005
09/15/2000;2005
09/18/2000;2035
09/19/2000;1975
09/20/2000;1975
09/21/2000;1955
09/22/2000;1930
09/25/2000;1985
09/26/2000;2000
09/27/2000;1840
09/28/2000;1935
09/29/2000;1990
10/02/2000;1970
10/03/2000;1965
10/04/2000;1995
10/05/2000;2000
10/06/2000;1990
10/09/2000;1990
10/10/2000;1965
10/11/2000;1920
10/12/2000;1975
10/13/2000;1915
10/16/2000;1935
10/17/2000;1910
10/18/2000;1820
10/19/2000;1820
10/20/2000;1845
10/23/2000;1785
10/24/2000;1760
10/25/2000;1770
10/26/2000;1800
10/27/2000;1815
10/30/2000;1845
10/31/2000;1885
11/01/2000;1940
11/02/2000;1945
11/03/2000;1945
11/06/2000;1955
11/07/2000;1970
11/08/2000;2000
11/09/2000;1950
11/10/2000;1885
11/13/2000;1865
11/14/2000;1920
11/15/2000;1930
11/16/2000;1910
11/17/2000;1910
11/20/2000;1935
11/21/2000;1920
11/22/2000;1870
11/23/2000;1870
11/24/2000;1895
11/27/2000;2005
11/28/2000;1910
11/29/2000;1920
11/30/2000;1940
12/01/2000;1970
12/04/2000;2000
12/05/2000;1930
12/06/2000;1905
12/07/2000;1895
12/08/2000;1880
12/11/2000;1905
12/12/2000;1920
12/13/2000;1930
12/14/2000;1960
12/15/2000;1930
12/18/2000;1950
12/19/2000;1960
12/20/2000;1950
12/21/2000;2000
12/22/2000;1995
12/25/2000;2000
12/26/2000;2035
12/27/2000;2030
12/28/2000;2090
12/29/2000;2130
01/01/2001;2130
01/02/2001;2130
01/03/2001;2130
01/04/2001;2150
01/05/2001;2250
01/08/2001;2250
01/09/2001;2235
01/10/2001;2210
01/11/2001;2145
01/12/2001;2115
01/15/2001;2195
01/16/2001;2245
01/17/2001;2225
01/18/2001;2260
01/19/2001;2235
01/22/2001;2280
01/23/2001;2260
01/24/2001;2250
01/25/2001;2245
01/26/2001;2200
01/29/2001;2220
01/30/2001;2230
01/31/2001;2230
02/01/2001;2280
02/02/2001;2260
02/05/2001;2260
02/06/2001;2285
02/07/2001;2375
02/08/2001;2365
02/09/2001;2370
02/12/2001;2370
02/13/2001;2350
02/14/2001;2355
02/15/2001;2365
02/16/2001;2255
02/19/2001;2240
02/20/2001;2275
02/21/2001;2300
02/22/2001;2385
02/23/2001;2400
02/26/2001;2370
02/27/2001;2340
02/28/2001;2295
03/01/2001;2220
03/02/2001;2215
03/05/2001;2205
03/06/2001;2230
03/07/2001;2250
03/08/2001;2380
03/09/2001;2430
03/12/2001;2350
03/13/2001;2270
03/14/2001;2280
03/15/2001;2390
03/16/2001;2440
03/19/2001;2530
03/20/2001;2530
03/21/2001;2675
03/22/2001;2525
03/23/2001;2545
03/26/2001;2675
03/27/2001;2620
03/28/2001;2565
03/29/2001;2485
03/30/2001;2560
04/02/2001;2505
04/03/2001;2615
04/04/2001;2555
04/05/2001;2510
04/06/2001;2510
04/09/2001;2350
04/10/2001;2390
04/11/2001;2490
04/12/2001;2450
04/13/2001;2410
04/16/2001;2410
04/17/2001;2380
04/18/2001;2480
04/19/2001;2485
04/20/2001;2500
04/23/2001;2390
04/24/2001;2455
04/25/2001;2425
04/26/2001;2450
04/27/2001;2485
04/30/2001;2485
05/01/2001;2705
05/02/2001;2815
05/03/2001;2815
05/04/2001;2815
05/07/2001;2735
05/08/2001;2740
05/09/2001;2700
05/10/2001;2695
05/11/2001;2685
05/14/2001;2650
05/15/2001;2635
05/16/2001;2685
05/17/2001;2675
05/18/2001;2650
05/21/2001;2640
05/22/2001;2560
05/23/2001;2620
05/24/2001;2530
05/25/2001;2615
05/28/2001;2590
05/29/2001;2565
05/30/2001;2525
05/31/2001;2500
06/01/2001;2470
06/04/2001;2505
06/05/2001;2530
06/06/2001;2565
06/07/2001;2575
06/08/2001;2580
06/11/2001;2630
06/12/2001;2615
06/13/2001;2655
06/14/2001;2710
06/15/2001;2685
06/18/2001;2685
06/19/2001;2680
06/20/2001;2695
06/21/2001;2750
06/22/2001;2765
06/25/2001;2735
06/26/2001;2720
06/27/2001;2665
06/28/2001;2680
06/29/2001;2740
07/02/2001;2800
07/03/2001;2810
07/04/2001;2850
07/05/2001;2855
07/06/2001;2785
07/09/2001;2830
07/10/2001;2760
07/11/2001;2730
07/12/2001;2645
07/13/2001;2655
07/16/2001;2705
07/17/2001;2705
07/18/2001;2645
07/19/2001;2625
07/20/2001;2625
07/23/2001;2635
07/24/2001;2740
07/25/2001;2750
07/26/2001;2715
07/27/2001;2755
07/30/2001;2780
07/31/2001;2840
08/01/2001;2845
08/02/2001;2870
08/03/2001;2755
08/06/2001;2755
08/07/2001;2750
08/08/2001;2785
08/09/2001;2720
08/10/2001;2680
08/13/2001;2655
08/14/2001;2620
08/15/2001;2525
08/16/2001;2405
08/17/2001;2430
08/20/2001;2355
08/21/2001;2225
08/22/2001;2325
08/23/2001;2260
08/24/2001;2270
08/27/2001;2250
08/28/2001;2270
08/29/2001;2270
08/30/2001;2260
08/31/2001;2145
09/03/2001;2075
09/04/2001;2120
09/05/2001;2210
09/06/2001;2315
09/07/2001;2405
09/10/2001;2410
09/11/2001;2420
09/12/2001;2295
09/13/2001;2175
09/14/2001;2150
09/17/2001;1925
09/18/2001;1885
09/19/2001;1885
09/20/2001;1785
09/21/2001;1650
09/24/2001;1650
09/25/2001;1825
09/26/2001;1810
09/27/2001;1915
09/28/2001;1935
10/01/2001;2005
10/02/2001;2015
10/03/2001;2050
10/04/2001;2100
10/05/2001;2130
10/08/2001;2130
10/09/2001;1980
10/10/2001;1985
10/11/2001;2185
10/12/2001;2295
10/15/2001;2160
10/16/2001;2150
10/17/2001;2225
10/18/2001;2205
10/19/2001;2175
10/22/2001;2115
10/23/2001;2235
10/24/2001;2265
10/25/2001;2325
10/26/2001;2265
10/29/2001;2265
10/30/2001;2275
10/31/2001;2195
11/01/2001;2235
11/02/2001;2220
11/05/2001;2285
11/06/2001;2335
11/07/2001;2240
11/08/2001;2275
11/09/2001;2255
11/12/2001;2150
11/13/2001;2145
11/14/2001;2185
11/15/2001;2270
11/16/2001;2300
11/19/2001;2400
11/20/2001;2420
11/21/2001;2355
11/22/2001;2330
11/23/2001;2330
11/26/2001;2445
11/27/2001;2420
11/28/2001;2330
11/29/2001;2345
11/30/2001;2335
12/03/2001;2360
12/04/2001;2335
12/05/2001;2450
12/06/2001;2480
12/07/2001;2450
12/10/2001;2385
12/11/2001;2390
12/12/2001;2455
12/13/2001;2365
12/14/2001;2425
12/17/2001;2425
12/18/2001;2445
12/19/2001;2475
12/20/2001;2485
12/21/2001;2515
12/24/2001;2515
12/25/2001;2510
12/26/2001;2520
12/27/2001;2570
12/28/2001;2615
12/31/2001;2615
01/01/2002;2615
01/02/2002;2615
01/03/2002;2615
01/04/2002;2710
01/07/2002;2645
01/08/2002;2605
01/09/2002;2570
01/10/2002;2530
01/11/2002;2530
01/14/2002;2530
01/15/2002;2525
01/16/2002;2540
01/17/2002;2505
01/18/2002;2555
01/21/2002;2600
01/22/2002;2580
01/23/2002;2610
01/24/2002;2670
01/25/2002;2735
01/28/2002;2780
01/29/2002;2655
01/30/2002;2635
01/31/2002;2660
02/01/2002;2670
02/04/2002;2680
02/05/2002;2560
02/06/2002;2555
02/07/2002;2570
02/08/2002;2580
02/11/2002;2580
02/12/2002;2615
02/13/2002;2600
02/14/2002;2520
02/15/2002;2555
02/18/2002;2535
02/19/2002;2450
02/20/2002;2430
02/21/2002;2545
02/22/2002;2530
02/25/2002;2500
02/26/2002;2515
02/27/2002;2635
02/28/2002;2675
03/01/2002;2695
03/04/2002;2865
03/05/2002;2845
03/06/2002;2835
03/07/2002;2895
03/08/2002;2760
03/11/2002;2720
03/12/2002;2750
03/13/2002;2735
03/14/2002;2720
03/15/2002;2790
03/18/2002;2750
03/19/2002;2830
03/20/2002;2750
03/21/2002;2750
03/22/2002;2725
03/25/2002;2725
03/26/2002;2720
03/27/2002;2750
03/28/2002;2785
03/29/2002;2690
04/01/2002;2735
04/02/2002;2735
04/03/2002;2740
04/04/2002;2700
04/05/2002;2710
04/08/2002;2690
04/09/2002;2650
04/10/2002;2655
04/11/2002;2650
04/12/2002;2660
04/15/2002;2715
04/16/2002;2730
04/17/2002;2765
04/18/2002;2795
04/19/2002;2750
04/22/2002;2815
04/23/2002;2795
04/24/2002;2815
04/25/2002;2845
04/26/2002;2790
04/29/2002;2790
04/30/2002;2880
05/01/2002;2975
05/02/2002;2920
05/03/2002;2920
05/06/2002;2920
05/07/2002;2920
05/08/2002;2955
05/09/2002;2930
05/10/2002;2890
05/13/2002;2865
05/14/2002;2880
05/15/2002;2905
05/16/2002;2935
05/17/2002;2925
05/20/2002;2875
05/21/2002;2840
05/22/2002;2795
05/23/2002;2700
05/24/2002;2815
05/27/2002;2775
05/28/2002;2780
05/29/2002;2760
05/30/2002;2725
05/31/2002;2650
06/03/2002;2705
06/04/2002;2670
06/05/2002;2660
06/06/2002;2635
06/07/2002;2710
06/10/2002;2650
06/11/2002;2670
06/12/2002;2720
06/13/2002;2710
06/14/2002;2665
06/17/2002;2565
06/18/2002;2600
06/19/2002;2520
06/20/2002;2530
06/21/2002;2450
06/24/2002;2390
06/25/2002;2465
06/26/2002;2360
06/27/2002;2375
06/28/2002;2430
07/01/2002;2475
07/02/2002;2510
07/03/2002;2520
07/04/2002;2500
07/05/2002;2500
07/08/2002;2510
07/09/2002;2510
07/10/2002;2450
07/11/2002;2425
07/12/2002;2450
07/15/2002;2440
07/16/2002;2435
07/17/2002;2410
07/18/2002;2480
07/19/2002;2490
07/22/2002;2545
07/23/2002;2635
07/24/2002;2635
07/25/2002;2505
07/26/2002;2395
07/29/2002;2510
07/30/2002;2555
07/31/2002;2490
08/01/2002;2445
08/02/2002;2370
08/05/2002;2385
08/06/2002;2360
08/07/2002;2480
08/08/2002;2470
08/09/2002;2540
08/12/2002;2485
08/13/2002;2510
08/14/2002;2435
08/15/2002;2440
08/16/2002;2430
08/19/2002;2390
08/20/2002;2460
08/21/2002;2520
08/22/2002;2545
08/23/2002;2575
08/26/2002;2615
08/27/2002;2580
08/28/2002;2515
08/29/2002;2495
08/30/2002;2510
09/02/2002;2470
09/03/2002;2415
09/04/2002;2340
09/05/2002;2390
09/06/2002;2390
09/09/2002;2410
09/10/2002;2415
09/11/2002;2475
09/12/2002;2500
09/13/2002;2425
09/16/2002;2425
09/17/2002;2560
09/18/2002;2535
09/19/2002;2625
09/20/2002;2590
09/23/2002;2590
09/24/2002;2550
09/25/2002;2470
09/26/2002;2505
09/27/2002;2530
09/30/2002;2465
10/01/2002;2455
10/02/2002;2430
10/03/2002;2440
10/04/2002;2495
10/07/2002;2405
10/08/2002;2420
10/09/2002;2375
10/10/2002;2315
10/11/2002;2345
