Day;Value.Volkswagen.
01/03/2000;54.3
01/04/2000;52
01/05/2000;51.8
01/06/2000;52.1
01/07/2000;53.3
01/10/2000;53.6
01/11/2000;54.4
01/12/2000;53.8
01/13/2000;52.7
01/14/2000;52.8
01/17/2000;53.25
01/18/2000;52.4
01/19/2000;50.55
01/20/2000;49.6
01/21/2000;49.7
01/24/2000;49
01/25/2000;48.4
01/26/2000;47.5
01/27/2000;49.1
01/28/2000;49.6
01/31/2000;48
02/01/2000;47.3
02/02/2000;47.35
02/03/2000;47.5
02/04/2000;46.5
02/07/2000;46.35
02/08/2000;46.3
02/09/2000;46
02/10/2000;45.9
02/11/2000;46.5
02/14/2000;46
02/15/2000;45.9
02/16/2000;45.9
02/17/2000;45.9
02/18/2000;45.6
02/21/2000;45.4
02/22/2000;45.1
02/23/2000;42.15
02/24/2000;40.15
02/25/2000;41.6
02/28/2000;42.3
02/29/2000;41.7
03/01/2000;40.4
03/02/2000;41.7
03/03/2000;42
03/06/2000;41.4
03/07/2000;40.2
03/08/2000;41.4
03/09/2000;40.9
03/10/2000;40.35
03/13/2000;41.8
03/14/2000;42.9
03/15/2000;43.2
03/16/2000;44.45
03/17/2000;43.85
03/20/2000;43.6
03/21/2000;43.8
03/22/2000;44
03/23/2000;44.2
03/24/2000;44.7
03/27/2000;45.6
03/28/2000;45.3
03/29/2000;46
03/30/2000;45.45
03/31/2000;45.7
04/03/2000;44.5
04/04/2000;44
04/05/2000;42.9
04/06/2000;43
04/07/2000;43.1
04/10/2000;42.9
04/11/2000;42.05
04/12/2000;41.9
04/13/2000;41.7
04/14/2000;42.3
04/17/2000;41.2
04/18/2000;41.25
04/19/2000;40.65
04/20/2000;42
04/21/2000;42
04/24/2000;42
04/25/2000;42.4
04/26/2000;42.28
04/27/2000;41.6
04/28/2000;41.35
05/01/2000;41.35
05/02/2000;42.45
05/03/2000;43.7
05/04/2000;45.7
05/05/2000;46.45
05/08/2000;46.7
05/09/2000;48.7
05/10/2000;47
05/11/2000;47
05/12/2000;46.15
05/15/2000;46.75
05/16/2000;47.5
05/17/2000;46.1
05/18/2000;44.5
05/19/2000;44.3
05/22/2000;44.5
05/23/2000;44.55
05/24/2000;44
05/25/2000;43.5
05/26/2000;43.6
05/29/2000;43.4
05/30/2000;43.6
05/31/2000;43.5
06/01/2000;44.15
06/02/2000;43.05
06/05/2000;43.2
06/06/2000;42.7
06/07/2000;43
06/08/2000;42.6
06/09/2000;42.3
06/12/2000;42.2
06/13/2000;42.9
06/14/2000;42.5
06/15/2000;42.2
06/16/2000;41.7
06/19/2000;40.5
06/20/2000;40.3
06/21/2000;40
06/22/2000;39.5
06/23/2000;39.4
06/26/2000;39.5
06/27/2000;39.65
06/28/2000;39.8
06/29/2000;39.6
06/30/2000;39.9
07/03/2000;39.9
07/04/2000;40.3
07/05/2000;41
07/06/2000;40.7
07/07/2000;40.9
07/10/2000;41
07/11/2000;40.55
07/12/2000;40.4
07/13/2000;40.25
07/14/2000;39.9
07/17/2000;41
07/18/2000;42.7
07/19/2000;44.3
07/20/2000;45.5
07/21/2000;45
07/24/2000;45.95
07/25/2000;44.7
07/26/2000;45.6
07/27/2000;45.05
07/28/2000;46.95
07/31/2000;46.95
08/01/2000;46.3
08/02/2000;45.6
08/03/2000;46.9
08/04/2000;47.4
08/07/2000;47.5
08/08/2000;49.1
08/09/2000;50.85
08/10/2000;50.25
08/11/2000;50
08/14/2000;49.8
08/15/2000;50.05
08/16/2000;50.4
08/17/2000;49.25
08/18/2000;48.6
08/21/2000;49.4
08/22/2000;50.1
08/23/2000;51.7
08/24/2000;50.5
08/25/2000;51.3
08/28/2000;51.15
08/29/2000;48.9
08/30/2000;48.4
08/31/2000;49
09/01/2000;50.5
09/04/2000;50
09/05/2000;49.7
09/06/2000;50.1
09/07/2000;49.8
09/08/2000;49.75
09/11/2000;49.3
09/12/2000;48.4
09/13/2000;46.8
09/14/2000;46.9
09/15/2000;49
09/18/2000;49.9
09/19/2000;50
09/20/2000;50.05
09/21/2000;49.4
09/22/2000;50.3
09/25/2000;50.2
09/26/2000;50.5
09/27/2000;49.9
09/28/2000;50.25
09/29/2000;52
10/02/2000;54.2
10/03/2000;54.2
10/04/2000;55.3
10/05/2000;56
10/06/2000;56
10/09/2000;55.2
10/10/2000;54.8
10/11/2000;55
10/12/2000;53.5
10/13/2000;55.6
10/16/2000;55.9
10/17/2000;55.3
10/18/2000;54.4
10/19/2000;55
10/20/2000;53.5
10/23/2000;53.7
10/24/2000;53.6
10/25/2000;54
10/26/2000;53.5
10/27/2000;55
10/30/2000;56.3
10/31/2000;58.9
11/01/2000;60.2
11/02/2000;59.3
11/03/2000;60.1
11/06/2000;60.6
11/07/2000;60.55
11/08/2000;58.5
11/09/2000;58
11/10/2000;57.8
11/13/2000;56.8
11/14/2000;58.4
11/15/2000;58.1
11/16/2000;58.2
11/17/2000;59
11/20/2000;57.5
11/21/2000;57.1
11/22/2000;55.3
11/23/2000;56.4
11/24/2000;55.3
11/27/2000;57.3
11/28/2000;60.7
11/29/2000;59.4
11/30/2000;57
12/01/2000;56.5
12/04/2000;55.3
12/05/2000;57
12/06/2000;58.4
12/07/2000;56.5
12/08/2000;57.8
12/11/2000;57.1
12/12/2000;56.5
12/13/2000;54.4
12/14/2000;52.6
12/15/2000;52.15
12/18/2000;51.5
12/19/2000;53.75
12/20/2000;51.9
12/21/2000;52.6
12/22/2000;53.25
12/25/2000;53.25
12/26/2000;53.25
12/27/2000;54
12/28/2000;55.8
12/29/2000;56.4
01/01/2001;56.4
01/02/2001;54.4
01/03/2001;53.4
01/04/2001;56.1
01/05/2001;58
01/08/2001;56.6
01/09/2001;55.1
01/10/2001;54.9
01/11/2001;53.7
01/12/2001;54.8
01/15/2001;56
01/16/2001;55.4
01/17/2001;57.4
01/18/2001;57.3
01/19/2001;57.7
01/22/2001;58.9
01/23/2001;58.7
01/24/2001;58.3
01/25/2001;57.5
01/26/2001;57
01/29/2001;55.9
01/30/2001;54.8
01/31/2001;54.7
02/01/2001;56
02/02/2001;55
02/05/2001;55
02/06/2001;56
02/07/2001;56.75
02/08/2001;57.85
02/09/2001;57.3
02/12/2001;57.3
02/13/2001;57.3
02/14/2001;57.7
02/15/2001;58
02/16/2001;57.3
02/19/2001;57.1
02/20/2001;58.85
02/21/2001;59.8
02/22/2001;59.75
02/23/2001;58.2
02/26/2001;59.2
02/27/2001;58.7
02/28/2001;59.5
03/01/2001;59.3
03/02/2001;58.8
03/05/2001;59.5
03/06/2001;60.2
03/07/2001;61.5
03/08/2001;62.1
03/09/2001;62.4
03/12/2001;61.3
03/13/2001;59.2
03/14/2001;55.5
03/15/2001;55.3
03/16/2001;54.7
03/19/2001;54.4
03/20/2001;55.4
03/21/2001;55.5
03/22/2001;50.5
03/23/2001;50
03/26/2001;52.7
03/27/2001;53.3
03/28/2001;53
03/29/2001;53.4
03/30/2001;52
04/02/2001;50.8
04/03/2001;48.1
04/04/2001;49
04/05/2001;50.3
04/06/2001;49.3
04/09/2001;50.6
04/10/2001;51.5
04/11/2001;51.6
04/12/2001;52.1
04/13/2001;52.1
04/16/2001;52.1
04/17/2001;50.7
04/18/2001;53
04/19/2001;54
04/20/2001;54.4
04/23/2001;54.2
04/24/2001;55.4
04/25/2001;55
04/26/2001;55.8
04/27/2001;55.6
04/30/2001;56.1
05/01/2001;56.1
05/02/2001;56.2
05/03/2001;55.7
05/04/2001;55.3
05/07/2001;54.9
05/08/2001;54.4
05/09/2001;55.3
05/10/2001;56.5
05/11/2001;57.4
05/14/2001;58
05/15/2001;58.25
05/16/2001;58.9
05/17/2001;59.2
05/18/2001;59
05/21/2001;59.7
05/22/2001;60
05/23/2001;60.2
05/24/2001;60
05/25/2001;59.85
05/28/2001;60.1
05/29/2001;59
05/30/2001;58.2
05/31/2001;57.9
06/01/2001;58.1
06/04/2001;58
06/05/2001;59.7
06/06/2001;59.5
06/07/2001;59.7
06/08/2001;58.07
06/11/2001;57.1
06/12/2001;56.1
06/13/2001;56.6
06/14/2001;55.2
06/15/2001;54.3
06/18/2001;55.1
06/19/2001;56
06/20/2001;55.2
06/21/2001;54.6
06/22/2001;54
06/25/2001;55
